Quotation,Cotação
Quotations,Cotações
Quotation Lost Reason,Motivo da Perda da Cotação
Quotation Trends,Tendência de Cotações
Quotation {0} is cancelled,A Cotação {0} está cancelada
Quotation {0} not of type {1},A Cotação {0} não é do tipo {1}
Quot Count,Contagem de Cotações
Supplier Quotation,Cotação de Fornecedor
Request for Quotation,Solicitação de Cotação
Request For Quotation,Solicitação de Cotação
Request for Quotation Item,Solicitação de Cotação do Item
Request for Quotation Supplier,Solicitação de Cotação Para Fornecedor
Supplier Quotation {0} Created,Cotação do Fornecedor {0} Criada
Terms and Conditions,Termos e Condições
Discount,Desconto
Comments,Comentários
Add a comment,Adicionar um comentário
No comments yet.,Ainda sem comentários.
Write your comment…,Escreva o seu comentário…
Ctrl+Enter to add comment,Ctrl+Enter para adicionar comentário
Login to comment,Entrar para comentar
Status,Estado
Priority,Prioridade
Progress,Progresso
Assignment,Atribuição
Open task,Abrir tarefa
No tasks available for Gantt view,Sem tarefas disponíveis para o cronograma
Open,Aberto
Working,Em andamento
Pending Review,Revisão pendente
Overdue,Atrasado
Completed,Concluído
Cancelled,Cancelado
Template,Modelo
Low,Baixa
Medium,Média
High,Alta
Urgent,Urgente
Satisfaction Survey,Inquérito de Satisfação
Satisfaction Survey Template,Modelo de Inquérito de Satisfação
Satisfaction Survey Template Question,Pergunta do Modelo de Inquérito
Satisfaction Survey Answer,Resposta do Inquérito
Survey Template,Modelo de Inquérito
Context,Contexto
Recipient,Destinatário
Recipient Email,Email do destinatário
Recipient User,Usuário destinatário
Access Token,Token de acesso
Sent On,Enviado em
Submitted On,Submetido em
Submitted By,Submetido por
Answers,Respostas
Question,Pergunta
Type,Tipo
Scale Min,Escala mín.
Scale Max,Escala máx.
Options,Opções
Answer Scale,Resposta (escala)
Answer Text,Resposta (texto)
Answer Choice,Resposta (escolha)
Title,Título
Active,Ativo
Default,Predefinido
Description,Descrição
Questions,Perguntas
Mandatory,Obrigatório
Series,Série
One option per line,Uma opção por linha
Draft,Rascunho
Sent,Enviado
Submitted,Submetido
Scale,Escala
Text,Texto
Choice,Escolha
Inquéritos,Inquéritos
Inquéritos de Satisfação,Inquéritos de Satisfação
Consulte e preencha os inquéritos associados à sua conta.,Consulte e preencha os inquéritos associados à sua conta.
Não há inquéritos disponíveis.,Não há inquéritos disponíveis.
Inquérito indisponível,Inquérito indisponível
Voltar à lista,Voltar à lista
Obrigado,Obrigado
Este inquérito já foi submetido.,Este inquérito já foi submetido.
Inquérito de Satisfação,Inquérito de Satisfação
Escreva aqui…,Escreva aqui…
Enviar,Enviar
O seu inquérito foi submetido com sucesso.,O seu inquérito foi submetido com sucesso.
Enviar inquérito de satisfação?,Enviar inquérito de satisfação?
Email do cliente,Email do destinatário
Sugestões,Sugestões
Inquérito enviado,Inquérito enviado
Não enviar,Não enviar
Não é permitido editar um inquérito de satisfação.,Não é permitido editar um inquérito de satisfação.
Apenas o administrador pode remover um inquérito de satisfação.,Apenas o administrador pode remover um inquérito de satisfação.
